Channel Number,Counts,Fitted Counts
1412,21506.0,21514.234956540433
1413,20976.0,21003.393620936615
1414,20678.0,20506.235686465807
1415,19876.0,20022.380439589186
1416,19370.0,19551.45788250172
1417,19415.0,19093.10843051201
1418,18619.0,18646.982618038746
1419,18013.0,18212.740813168806
1420,17701.0,17790.052941242582
1421,17553.0,17378.598219702177
1422,16940.0,16978.064912101334
1423,16676.0,16588.150126089582
1424,16171.0,16208.559727150141
1425,15801.0,15839.00856060802
1426,15588.0,15479.221460186867
1427,15093.0,15128.936139380845
1428,14584.0,14787.91026897752
1429,14392.0,14455.937132730809
1430,14217.0,14132.877338043114
1431,13829.0,13818.717607244445
1432,13435.0,13513.669799791991
1433,13242.0,13218.32015146808
1434,12859.0,12933.824688414425
1435,12827.0,12662.11687433734
1436,12581.0,12406.048270974054
1437,12319.0,12169.334675424818
1438,12038.0,11956.156564453042
1439,11758.0,11770.301221376414
1440,11564.0,11613.862989839516
1441,11542.0,11485.728899462101
1442,11607.0,11380.3025695167
1443,11220.0,11287.04310502046
1444,11129.0,11191.300612887348
1445,11037.0,11076.574236826777
1446,10774.0,10927.793305134972
1447,10746.0,10734.74110395426
1448,10450.0,10494.546884454066
1449,10169.0,10212.401924206344
1450,9847.0,9900.24645637653
1451,9426.0,9573.877552945929
1452,9201.0,9249.435457690335
1453,8979.0,8940.331912805763
1454,8565.0,8655.385544878303
1455,8549.0,8398.4066399659
1456,8118.0,8168.975759715215
1457,7939.0,7963.874132741104
1458,7762.0,7778.600082716924
1459,7705.0,7608.573862912892
1460,7416.0,7449.8679493138225
1461,7250.0,7299.494084024315
1462,7078.0,7155.381849162193
1463,7005.0,7016.200809586643
1464,6858.0,6881.143297920426
1465,6901.0,6749.734333513768
1466,6702.0,6621.692805817859
1467,6528.0,6496.842510499539
1468,6335.0,6375.061260620307
1469,6199.0,6256.2555966973505
1470,6136.0,6140.352540538241
1471,5989.0,6027.305456813483
1472,5854.0,5917.117436484807
1473,5770.0,5809.8926220520225
1474,5638.0,5705.93293056327
1475,5639.0,5605.901936573016
1476,5526.0,5511.073122001276
1477,5421.0,5423.6571023768265
1478,5426.0,5347.1532564504505
1479,5240.0,5286.595683550801
1480,5249.0,5248.48139488732
1481,5208.0,5240.125827571807
1482,5374.0,5268.250178382968
1483,5316.0,5336.816034322311
1484,5464.0,5444.474034879564
1485,5659.0,5582.376337469474
1486,5717.0,5733.322967418033
1487,5765.0,5873.069922526806
1488,5960.0,5974.044001383463
1489,5915.0,6010.829287375821
1490,6099.0,5965.967222127156
1491,5802.0,5834.258395518403
1492,5789.0,5624.112112795322
1493,5461.0,5355.46774420499
1494,5120.0,5055.000575025288
1495,4723.0,4750.203282704149
1496,4427.0,4464.143918513293
1497,4159.0,4212.221974121048
1498,4045.0,4001.369975381464
1499,3875.0,3831.2990643608123
1500,3734.0,3696.8855493314036
1501,3566.0,3590.738258758369
1502,3534.0,3505.2605739649193
1503,3408.0,3433.916229165993
1504,3386.0,3371.7408018243455
1505,3406.0,3315.3220939532184
1506,3232.0,3262.5068039629014
1507,3235.0,3212.034271903798
1508,3102.0,3163.212874188866
1509,3022.0,3115.6821362961
1510,3122.0,3069.2592265033904
1511,3059.0,3023.849798334633
1512,2981.0,2979.400722942455
1513,2950.0,2935.8770113182213
1514,2940.0,2893.2513730858536
1515,2838.0,2851.4998167364847
1516,2740.0,2810.599913361953
1517,2752.0,2770.5301490210486
1518,2667.0,2731.2696913059553
1519,2628.0,2692.7983031656418
1520,2563.0,2655.0963058965463
1521,2561.0,2618.14455772366
1522,2579.0,2581.9244372334765
1523,2537.0,2546.417828439233
1524,2503.0,2511.607106567668
1525,2504.0,2477.4751243193095
1526,2474.0,2444.005198532607
1527,2379.0,2411.1810972274
1528,2468.0,2378.9870270141623
1529,2464.0,2347.407620858075
1530,2308.0,2316.427926187796
1531,2224.0,2286.0333933391785
